NO.	ANG	POL	book_unit_lesson	part_of_speech	audio
413	bigger	większe	BG1_U4_L2	Słownictwo ogólne	0
414	larger	większe	BG1_U4_L2	Słownictwo ogólne	0
415	piece	kawałek	BG1_U4_L2	Słownictwo ogólne	0
416	put	położyć	BG1_U4_L2	Słownictwo ogólne	0
417	sharper	ostrzejsze	BG1_U4_L2	Słownictwo ogólne	0
418	that	tamto, tamten, tamta	BG1_U4_L2	Słownictwo ogólne	0
419	this	to, ta, ten	BG1_U4_L2	Słownictwo ogólne	0
420	touch	dotykać	BG1_U4_L2	Słownictwo ogólne	0
421	use	używać	BG1_U4_L2	Słownictwo ogólne	0
422	a lot of	dużo	BG1_U4_L3	Słownictwo ogólne	0
423	bad idea	zły pomysł	BG1_U4_L3	Słownictwo ogólne	0
424	buy	kupić	BG1_U4_L3	Słownictwo ogólne	0
425	cash machine	bankomat	BG1_U4_L3	Słownictwo ogólne	0
426	do the shopping	zrobić zakupy	BG1_U4_L3	Słownictwo ogólne	0
427	guess	zgadnąć	BG1_U4_L3	Słownictwo ogólne	0
428	imagination	wyobraźnia	BG1_U4_L3	Słownictwo ogólne	0
429	lots of	dużo	BG1_U4_L3	Słownictwo ogólne	0
430	make a shopping list	zrobić listę zakupów	BG1_U4_L3	Słownictwo ogólne	0
431	meal	danie	BG1_U4_L3	Słownictwo ogólne	0
432	of course	oczywiście	BG1_U4_L3	Słownictwo ogólne	0
433	on the Internet	w Internecie	BG1_U4_L3	Słownictwo ogólne	0
434	order	zamówić	BG1_U4_L3	Słownictwo ogólne	0
435	plenty of	dużo	BG1_U4_L3	Słownictwo ogólne	0
436	take out	wyciągnąć	BG1_U4_L3	Słownictwo ogólne	0
437	seafood	owoce morza	BG1_U4_L3	Słownictwo ogólne	0
438	sell	sprzedać	BG1_U4_L3	Słownictwo ogólne	0
439	shop for	kupować coś	BG1_U4_L3	Słownictwo ogólne	0
440	stall	stragan	BG1_U4_L3	Słownictwo ogólne	0
441	why	dlaczego	BG1_U4_L3	Słownictwo ogólne	0
442	celery	seler	BG1_U4_L4	Praca	0
443	coins	monety	BG1_U4_L4	Praca	0
444	cost	kosztować	BG1_U4_L4	Praca	0
445	count	liczyć	BG1_U4_L4	Praca	0
446	customer	klient	BG1_U4_L4	Praca	0
447	discount	zniżka	BG1_U4_L4	Praca	0
448	equal	równać się	BG1_U4_L4	Praca	0
449	fridge	lodówka	BG1_U4_L4	Praca	0
450	healthy food	zdrowa żywność	BG1_U4_L4	Praca	0
451	Here you are.	Proszę bardzo.	BG1_U4_L4	Praca	0
452	Here you go.	Proszę bardzo.	BG1_U4_L4	Praca	0
453	notes	banknoty	BG1_U4_L4	Praca	0
454	pence	pensy	BG1_U4_L4	Praca	0
455	pounds	funty	BG1_U4_L4	Praca	0
456	profi t	zyski	BG1_U4_L4	Praca	0
457	stall	stragan	BG1_U4_L4	Praca	0
458	There you go.	Proszę bardzo.	BG1_U4_L4	Praca	0
459	total	suma	BG1_U4_L4	Praca	0
460	by	przez	BG1_U5_L1	Słownictwo ogólne	0
461	about	o	BG1_U5_L1	Słownictwo ogólne	0
462	across	po drugiej stronie	BG1_U5_L1	Słownictwo ogólne	0
463	balloon	balon	BG1_U5_L1	Słownictwo ogólne	0
464	behind	za	BG1_U5_L1	Słownictwo ogólne	0
465	between	pomiędzy	BG1_U5_L1	Słownictwo ogólne	0
466	birthday cake	tort urodzinowy	BG1_U5_L1	Słownictwo ogólne	0
467	candle	świeczka	BG1_U5_L1	Słownictwo ogólne	0
468	elderly	starszy	BG1_U5_L1	Słownictwo ogólne	0
469	for	dla, na	BG1_U5_L1	Słownictwo ogólne	0
470	forget	zapominać	BG1_U5_L1	Słownictwo ogólne	0
471	gift	prezent	BG1_U5_L1	Słownictwo ogólne	0
472	guess	zgadywać	BG1_U5_L1	Słownictwo ogólne	0
473	guest	gość	BG1_U5_L1	Słownictwo ogólne	0
474	idea	pomysł	BG1_U5_L1	Słownictwo ogólne	0
475	in front of	przed	BG1_U5_L1	Słownictwo ogólne	0
476	invitation	zaproszenie	BG1_U5_L1	Słownictwo ogólne	0
477	invite	zapraszać	BG1_U5_L1	Słownictwo ogólne	0
478	like	jak	BG1_U5_L1	Słownictwo ogólne	0
479	nearly	prawie, niemalże	BG1_U5_L1	Słownictwo ogólne	0
480	next to	obok	BG1_U5_L1	Słownictwo ogólne	0
481	of	(oznacza relację kogo? czego?)	BG1_U5_L1	Słownictwo ogólne	0
482	opposite	naprzeciwko	BG1_U5_L1	Słownictwo ogólne	0
483	party	przyjęcie, impreza	BG1_U5_L1	Słownictwo ogólne	0
484	present	prezent	BG1_U5_L1	Słownictwo ogólne	0
485	send	wysyłać	BG1_U5_L1	Słownictwo ogólne	0
486	sociable	towarzyski	BG1_U5_L1	Słownictwo ogólne	0
487	stamp	znaczek	BG1_U5_L1	Słownictwo ogólne	0
488	surprise	niespodzianka	BG1_U5_L1	Słownictwo ogólne	0
489	anniversary	rocznica	BG1_U5_L2	Słownictwo ogólne	0
490	attend	uczestniczyć	BG1_U5_L2	Słownictwo ogólne	0
491	bring	przynosić, przyprowadzać	BG1_U5_L2	Słownictwo ogólne	0
492	catch-up	nadrabianie zaległości	BG1_U5_L2	Słownictwo ogólne	0
493	congratulations	gratulacje	BG1_U5_L2	Słownictwo ogólne	0
494	engagement	zaręczyny	BG1_U5_L2	Słownictwo ogólne	0
495	graduation	ukończenie szkoły	BG1_U5_L2	Słownictwo ogólne	0
496	joke	żart	BG1_U5_L2	Słownictwo ogólne	0
497	join	dołączyć	BG1_U5_L2	Słownictwo ogólne	0
498	last	ostatni	BG1_U5_L2	Słownictwo ogólne	0
499	lovely	cudowny	BG1_U5_L2	Słownictwo ogólne	0
500	occasion	okazja	BG1_U5_L2	Słownictwo ogólne	0
501	odds	szanse	BG1_U5_L2	Słownictwo ogólne	0
502	quick	szybki	BG1_U5_L2	Słownictwo ogólne	0
503	wedding	ślub	BG1_U5_L2	Słownictwo ogólne	0
504	wishes	życzenia	BG1_U5_L2	Słownictwo ogólne	0
505	wonderful	cudowny, wspaniały	BG1_U5_L2	Słownictwo ogólne	0
506	ability	umiejętność	BG1_U5_L3	Słownictwo ogólne	0
507	beautifully	pięknie	BG1_U5_L3	Słownictwo ogólne	0
508	be good at something	być w czymś dobrym	BG1_U5_L3	Słownictwo ogólne	0
509	classes	zajęcia, lekcje	BG1_U5_L3	Słownictwo ogólne	0
510	equal	równy	BG1_U5_L3	Słownictwo ogólne	0
511	even out	wyrównywać	BG1_U5_L3	Słownictwo ogólne	0
512	exercise	ćwiczyć	BG1_U5_L3	Słownictwo ogólne	0
513	forget	zapominać	BG1_U5_L3	Słownictwo ogólne	0
514	improve	polepszać	BG1_U5_L3	Słownictwo ogólne	0
515	make a mistake	zrobić błąd	BG1_U5_L3	Słownictwo ogólne	0
516	practise	ćwiczyć	BG1_U5_L3	Słownictwo ogólne	0
517	struggle	mieć trudności	BG1_U5_L3	Słownictwo ogólne	0
518	well	dobrze	BG1_U5_L3	Słownictwo ogólne	0
519	accept	akceptować	BG1_U5_L4	Słownictwo ogólne	0
520	advertisement	ogłoszenie	BG1_U5_L4	Słownictwo ogólne	0
521	application	aplikacja, podanie	BG1_U5_L4	Słownictwo ogólne	0
522	apply	aplikować	BG1_U5_L4	Słownictwo ogólne	0
523	at times	czasami	BG1_U5_L4	Słownictwo ogólne	0
524	boring	nudny	BG1_U5_L4	Słownictwo ogólne	0
525	degree in	tytuł naukowy z	BG1_U5_L4	Słownictwo ogólne	0
526	diary	dziennik	BG1_U5_L4	Słownictwo ogólne	0
527	diffi cult	trudny	BG1_U5_L4	Słownictwo ogólne	0
528	dream	marzenie	BG1_U5_L4	Słownictwo ogólne	0
529	easy	łatwy	BG1_U5_L4	Słownictwo ogólne	0
530	exciting	ekscytujący	BG1_U5_L4	Słownictwo ogólne	0
531	eye-opening	pouczający, otwierający oczy	BG1_U5_L4	Słownictwo ogólne	0
532	fi nish	kończyć	BG1_U5_L4	Słownictwo ogólne	0
533	get	dostać	BG1_U5_L4	Słownictwo ogólne	0
534	give	dać	BG1_U5_L4	Słownictwo ogólne	0
535	graduate	kończyć szkołę	BG1_U5_L4	Słownictwo ogólne	0
536	interview	wywiad, rozmowa kwalifi kacyjna	BG1_U5_L4	Słownictwo ogólne	0
537	job	praca	BG1_U5_L4	Słownictwo ogólne	0
538			BG2_U1_L1		0
539					0
540					0
541					0
542					0
543					0
544					0
545					0
546					0
547					0
548					0
549					0
550					0
551					0
552					0
553					0
554					0
555					0
556					0
557					0
558					0
559					0
560					0
561					0
562					0
563					0
564					0
565					0
566					0
567					0
568					0
569					0
570					0
571					0
572					0
573					0
574					0
575					0
576					0
577					0
578					0
579					0
580					0
581					0
582					0
583					0
584					0
585					0
586					0
587					0
588					0
589					0
590					0
591					0
592					0
593					0
594					0
595					0
596					0
597					0
598					0
599					0
600					0
601					0
602					0
603					0
604					0
605					0
606					0
607					0
608					0
609					0
610					0
611					0
612					0
613					0
614					0
615					0
616					0
617					0
618					0
619					0
620					0
621					0
622					0
623					0
624					0
625					0
626					0
627					0
628					0
629					0
630					0
631					0
632					0
633					0
634					0
635					0
